,state,sat_participation_2018,sat_total_2018
0,Alabama,0.06,1166
1,Alaska,0.43,1106
2,Arizona,0.29,1149
3,Arkansas,0.05,1169
4,California,0.6,1076
5,Colorado,1.0,1025
6,Connecticut,1.0,1053
7,Delaware,1.0,998
8,District of Columbia,0.92,977
9,Florida,0.56,1099
10,Georgia,0.7,1064
11,Hawaii,0.56,1010
12,Idaho,1.0,1001
13,Illinois,0.99,1019
14,Indiana,0.63,1074
15,Iowa,0.03,1265
16,Kansas,0.04,1265
17,Kentucky,0.04,1248
18,Louisiana,0.04,1210
19,Maine,0.99,1013
20,Maryland,0.76,1080
21,Massachusetts,0.8,1125
22,Michigan,1.0,1011
23,Minnesota,0.04,1298
24,Mississippi,0.03,1236
25,Missouri,0.04,1262
26,Montana,0.1,1198
27,Nebraska,0.03,1252
28,Nevada,0.23,1140
29,New Hampshire,0.96,1063
30,New Jersey,0.82,1094
31,New Mexico,0.16,1093
32,New York,0.79,1068
33,North Carolina,0.52,1098
34,North Dakota,0.02,1283
35,Oklahoma,0.08,1062
36,Ohio,0.18,1099
37,Oregon,0.48,1117
38,Pennsylvania,0.7,1086
39,Rhode Island,0.97,1018
40,South Carolina,0.55,1070
41,South Dakota,0.03,1240
42,Tennessee,0.06,1231
43,Texas,0.66,1032
44,Utah,0.04,1010
45,Vermont,0.64,1120
46,Virginia,0.68,1117
47,Washington,0.69,1081
48,West Virginia,0.28,999
49,Wisconsin,0.03,1294
50,Wyoming,0.03,1257
